timestamp,tweet_text,all_hashtags,followers_count,sentaiment_score
4/29/2020 23:21,"b'If America is opening up again, think we need to ban immigration/tourists from there for a while until they can prove they\xe2\x80\x99ve got this under control  (god knows how long that will be) \xf0\x9f\x98\x90 #COVID19 #CoronavirusUSA #Trump #America #StayHomeSaveLives https://t.co/0U4BtFqFn3'","['COVID19', 'CoronavirusUSA', 'Trump', 'America', 'StayHomeSaveLives']",797,-0.05
4/29/2020 23:20,"b'Deaths per million from the Wuhan virus in U.S. States, Districts, and Territories as of 19:00 (EDT) on April 29. #COVID19  #SARSCoV2 #Coronavirus  #CoronavirusUSA  #CoronavirusOutbreak  #WuhanVirus  #CCPVirus https://t.co/87JTQ8BJ1d'","['COVID19', 'SARSCoV2', 'Coronavirus', 'CoronavirusUSA', 'CoronavirusOutbreak', 'WuhanVirus', 'CCPVirus']",28,0
4/29/2020 23:17,b'Great to see @KhalsaAid_USA serving ALL communities during the #CoronavirusUSA pandemic !!   #AmericaWorksTogether @JewishChron https://t.co/7nsDgwWOkt',"['CoronavirusUSA', 'AmericaWorksTogether']",50824,1
4/29/2020 23:14,"b'@jaredkushner @realDonaldTrump  61,000 and counting dead people due to your  incompetencies. you are the epitome of entitlement. high talking loser.  #coronavirus #JaredKushnerForPrison  #TrumpCoronavirusTestFailure  #TrumpOwnsEveryDeath  #kushnerownseverydeath  #CoronavirusUSA https://t.co/R21YUAM90f'","['coronavirus', 'JaredKushnerForPrison', 'TrumpCoronavirusTestFailure', 'TrumpOwnsEveryDeath', 'kushnerownseverydeath', 'CoronavirusUSA']",1015,-0.055
4/29/2020 23:14,b'@NightlyPolitics @Lesleygsmith3 Boris Johnson also talked about successes \xf0\x9f\xa4\x94 Funnily when he resumed work his first call was to Trump who also spouts this nonsense #USA #CoronavirusUSA #coronavirusuk',"['USA', 'CoronavirusUSA', 'coronavirusuk']",2041,0.25
4/29/2020 23:11,"b'""#CoronavirusUSA  Trump's thinking, for what it is worth, only a week ago that the death toll in the USA would be very low, possibly as low as 60,000, has already gone up in smoke. Wish that it was otherwise and also, for the word's sake, that he will be defeated come November.""",['CoronavirusUSA'],1135,0.075
4/29/2020 23:08,"b'\xf0\x9f\x95\xaf\xef\xb8\x8f \xe2\x80\x9cThey\'re truly alone and that\'s the most heartbreaking.""  Around 70 residents died from #coronavirus at @HolyokeSOHO veterans\xe2\x80\x99 home in Massachusetts #CoronavirusUSA #Covid19 https://t.co/gft2f2PbB9'","['coronavirus', 'CoronavirusUSA', 'Covid19']",143014,0.5
4/29/2020 23:08,b'EARLIER: Jets from the U.S. Navy\xe2\x80\x99s @BlueAngels and the Air Force\xe2\x80\x99s @AFThunderbirds flew over New York City to pay tribute to health workers fighting the #coronavirus pandemic #CoronavirusUSA https://t.co/bIDnfvelwk',"['coronavirus', 'CoronavirusUSA']",143014,0.068181818
4/29/2020 23:07,"b'""UPDATE #coronavirusUSA 1,034,884 #coronavirus Cases 60,316 Deaths Globally:  3,179,494 Cases 226,173 Deaths The United States has 32.5% of the world's coronavirus cases""","['coronavirusUSA', 'coronavirus']",282,0
4/29/2020 23:05,"b'""basically it doesn't matter if you are endangered in your work environment or that you will die as a result of it.. They will cut your #unemploymentbenefits. #coronavirus #covid #covid19 #coronavirususa https://t.co/1EqZkyBfNv""","['unemploymentbenefits', 'coronavirus', 'covid', 'covid19', 'coronavirususa']",513,0
4/29/2020 23:05,"b'The experimental anti-viral drug #remdisivir has reportedly generated ""positive"" data in tests run by the NIAID to examine its potential as a coronavirus treatment.  Compare reporting from @CNBC, @foxheadlines and @YahooNews:  #CoronavirusUSA #Healthcare   https://t.co/W76QiPoJZv https://t.co/eNzmadsWcb'","['remdisivir', 'CoronavirusUSA', 'Healthcare']",12461,0.109090909
4/29/2020 23:01,b'#COVID19 #coronavirus #CoronavirusLockdownUK #CoronavirusUSA #coronavirusbriefing #coronavirus 60.000 deaths in America!!! https://t.co/keVxcUf3NQ',"['COVID19', 'coronavirus', 'CoronavirusLockdownUK', 'CoronavirusUSA', 'coronavirusbriefing', 'coronavirus']",62,0
4/29/2020 23:01,b'Please help a healthcare work ! I\xe2\x80\x99m struggling and could use any help I can get thank you. $ashleyrhollis #cashapp #Cashappgiveaway #BailOutHumans #BailoutHumansNow #HealthcareHeroes #HealthcareWorkers #COVID19 #CoronavirusUSA #HealthWorkers @pulte @TeamPulte @JeffreeStar',"['cashapp', 'Cashappgiveaway', 'BailOutHumans', 'BailoutHumansNow', 'HealthcareHeroes', 'HealthcareWorkers', 'COVID19', 'CoronavirusUSA', 'HealthWorkers']",26,0
4/29/2020 23:01,b'#coronavirus #CoronavirusUSA #CoronaVirusUpdate   Based the absolutes Closed cases where 70% Recovered and 30% died I am gonna assume by those ABSOLUTES that survival in the United States is 70% Almost 1/3 will die Here are stats and states listed in order of most cases https://t.co/l1EA8gDwpE',"['coronavirus', 'CoronavirusUSA', 'CoronaVirusUpdate']",12105,0.2
4/29/2020 23:00,"b'Warren, AOC Make Coronavirus #Weapon: Stop #Business Prosperity While Americans Are Suffering https://t.co/q3OTCSiLo1 #coronavirususa #political'","['Weapon', 'Business', 'coronavirususa', 'political']",139,0
4/29/2020 22:58,"b'""BREAKING GOOD NEWS! Coronavirus: US top infectious disease doctor says drug trial shows 'quite good news' #Coronavirus https://t.co/ZRCD3D8GTv #CoronaVirus #CoronavirusPandemic #CoronaVirusUSA #CoronaVirusUpdates #COVID19 #COVID\xe3\x83\xbc19 #COVID__19 #covid""","['Coronavirus', 'CoronaVirus', 'CoronavirusPandemic', 'CoronaVirusUSA', 'CoronaVirusUpdates', 'COVID19', 'COVIDー19', 'COVID__19', 'covid']",262,0.691666667
4/29/2020 22:54,"b'""58,220 Americans were killed in the Vietnam war over a period of 20 years. More than 60,000 Americans have been killed by #COVID\xe3\x83\xbc19 since January of this year.  It's not a hoax.  It's not a Democratic conspiracy. It's not a ploy to oust #Trump.  #CoronavirusUSA""","['COVIDー19', 'Trump', 'CoronavirusUSA']",23,0.033333333
4/29/2020 22:54,"b'""The Chelsea Collaborative is what's happening!  I'm in awe of the amazing work they're doing to save lives and keep our city healthy!  https://t.co/lPGwSnXmRp   #staysafe #COVID19 #fooddelivery #community #communityservice #prayer #covid_19 #CoronavirusUSA https://t.co/bT3QgdEWK1""","['staysafe', 'COVID19', 'fooddelivery', 'community', 'communityservice', 'prayer', 'covid_19', 'CoronavirusUSA']",393,0.6125
4/29/2020 22:51,"b'@jaredkushner Really?!!! Get your head out of your ASS. With over 60,000 Deaths... this Government did NOT respond. #FakeNews #COVID19 #WorstPresidentInHistory #CoronavirusUSA #CoronaVirusUpdate'","['FakeNews', 'COVID19', 'WorstPresidentInHistory', 'CoronavirusUSA', 'CoronaVirusUpdate']",9,0.390625
4/29/2020 22:49,"b'""@alexnazaryan Lol. Let him panic. He's quite old anyway. #Americans worried about food and keeping a roof over their heads is more important. If that's socialism then so be it. The government propping up corporation's is socialism. #CoronavirusUSA""","['Americans', 'CoronavirusUSA']",1743,0.45
4/29/2020 22:46,"b'""I'm not sure #Trump understands what a virus is? I would love to hear him describe it as simply as he can. That would be fun. #CoronavirusUSA https://t.co/YsQMQIiDX9""","['Trump', 'CoronavirusUSA']",397,0.1375
4/29/2020 22:42,b'#coronavirususa  one that was carried largely on the lips of MEDICAL PROFESSIONALS WHO HAVE NO BUSINESS running a national economy or government. https://t.co/mqAlgkuHq6',['coronavirususa'],17,0.107142857
4/29/2020 22:42,"b'""CNN reporter on Jared Kushner's victory lap: I don't know what he's talk... https://t.co/1gcs6fP8KF via @YouTube #Pathetic #COVID19 #Coronavirus #COVID19US #CoronavirusPandemic #CoronavirusLockdown #CoronavirusUSA #CoronavirusOutbreak""","['Pathetic', 'COVID19', 'Coronavirus', 'COVID19US', 'CoronavirusPandemic', 'CoronavirusLockdown', 'CoronavirusUSA', 'CoronavirusOutbreak']",13241,-1
4/29/2020 22:41,"b'#coronavirususa In fact, COVID-19 hype will go down as one of the political world\xe2\x80\x99s biggest, most SHAMEFULLY OVERBLOWN, OVERHYPED, overly and irrationally INFLATED and outright DECEPTIVELY FLAWED responses to a health matter in American history...  https://t.co/mqAlgkuHq6'",['coronavirususa'],17,-0.031111111
4/29/2020 22:41,"b'""I'm just going to pin this because it hasn't changed. Does everyone understands this visual? US consistently has 1/3 of all cases in the world. #coronavirus #COVID19 #CoronavirusUSA #TrumpLiesAmericansDie https://t.co/mZHJf4ddrF""","['coronavirus', 'COVID19', 'CoronavirusUSA', 'TrumpLiesAmericansDie']",653,0.125
4/29/2020 22:39,"b'""Honestly, Suzanne Collins is living her best life rn! A new book/movie in the works and a Hunger Games-style 'rebellion' hitting the USA. So, who gonna be our Mockingjay? #Pandemic2020 #CoronavirusUSA #HungerGames https://t.co/wlvYH3LmnR""","['Pandemic2020', 'CoronavirusUSA', 'HungerGames']",32,0.578787879
4/29/2020 22:37,"b'Central Park West, a typically bustling stretch on Manhattan\xe2\x80\x99s upper Westside in New York, during peak hour today #CoronavirusUSA https://t.co/t6u5RjW6N0'",['CoronavirusUSA'],30,-0.007575758
4/29/2020 22:36,b'#Coronavirus death toll in US likely worse than numbers say: https://t.co/hpdC1Jrphx #CoronavirusUSA #CoronavirusPandemic #COVID19 #VoteHimOUT #VoteBlueToEndThisNightmare #VoteBlue2020 #WakeUpAmerica #WakeUP',"['Coronavirus', 'CoronavirusUSA', 'CoronavirusPandemic', 'COVID19', 'VoteHimOUT', 'VoteBlueToEndThisNightmare', 'VoteBlue2020', 'WakeUpAmerica', 'WakeUP']",1432,-0.2
4/29/2020 22:35,"b'FEMA orders 100,000 new body bags as US COVID-19 death toll exceeds 60,000- REPORT   @fema #CoronavirusUSA'",['CoronavirusUSA'],253,0.136363636
